,classifier,data_stream,ROC_AUC,ROC_AUC_training,hamming_loss,hamming_loss_training,best_params
77,RandomForestClassifier,raw01-wavelet,0.7791918981272283,0.9999995830679996,0.21117717003567182,0.00041629497472494794,"{'onevsrestclassifier__estimator__n_estimators': 50, 'pipeline__pca': PCA(n_components=0.95, svd_solver='full')}"
78,SGDClassifier,raw01-wavelet,,,0.22425683709869204,0.22349093071662207,"{'onevsrestclassifier__estimator__alpha': 0.0001, 'onevsrestclassifier__estimator__penalty': 'l2', 'pipeline__pca': PCA(n_components=0.8, svd_solver='full')}"
79,AdaBoostClassifier,raw02-MR-meta-ecg,0.6852126975157129,0.7075854007200624,0.2929845422116528,0.2920606601248885,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 50}"
80,GaussianNB,raw02-MR-meta-ecg,0.6744542665799392,0.6548464745116552,0.4280618311533888,0.43716919417187033,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full')}"
81,KNeighborsClassifier,raw02-MR-meta-ecg,0.7181566874486659,0.7494734145718482,0.2932223543400713,0.27808504311626525,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full'), 'onevsrestclassifier__estimator__n_neighbors': 7}"
82,LogisticRegression,raw02-MR-meta-ecg,0.9051481135578999,0.9679991096408569,0.13222354340071343,0.08129646149271484,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__C': 0.001, 'onevsrestclassifier__estimator__penalty': 'l2'}"
83,RandomForestClassifier,raw02-MR-meta-ecg,0.5225914616770042,0.5330814556001113,0.6137931034482759,0.6045197740112994,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 200}"
84,AdaBoostClassifier,raw02-MR,0.6682730890913332,0.6933896413762437,0.3210463733650416,0.31584894439488553,"{'onevsrestclassifier__estimator__n_estimators': 50, 'pipeline__pca': 'passthrough'}"
85,GaussianNB,raw02-MR,0.6736418192613358,0.6542566516124919,0.4280618311533888,0.43794231341064527,"{'pipeline__pca': PCA(n_components=0.8, svd_solver='full')}"
86,KNeighborsClassifier,raw02-MR,0.7178599933829708,0.7491782301683693,0.2915576694411415,0.2783229259589652,"{'onevsrestclassifier__estimator__n_neighbors': 7, 'pipeline__pca': PCA(n_components=0.8, svd_solver='full')}"
87,LogisticRegression,raw02-MR,0.9069837109518385,0.9730251669509169,0.1267538644470868,0.07237585489146595,"{'onevsrestclassifier__estimator__C': 0.001, 'onevsrestclassifier__estimator__penalty': 'l2', 'pipeline__pca': 'passthrough'}"
88,RandomForestClassifier,raw02-MR,0.5379173140450844,0.5583151152588774,0.5909631391200951,0.576330657151353,"{'onevsrestclassifier__estimator__n_estimators': 200, 'pipeline__pca': 'passthrough'}"
89,AdaBoostClassifier,raw02-wavelet-meta-ecg,0.8360632916761965,0.957821848499381,0.17288941736028537,0.10449003865596194,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 100}"
90,GaussianNB,raw02-wavelet-meta-ecg,0.7421985495121788,0.7377037073280305,0.2789536266349584,0.28522152839726433,{'columntransformer__num__pca': 'passthrough'}
91,KNeighborsClassifier,raw02-wavelet-meta-ecg,0.7591682144435782,0.8983767538364049,0.2004756242568371,0.17062146892655367,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full'), 'onevsrestclassifier__estimator__n_neighbors': 7}"
92,LogisticRegression,raw02-wavelet-meta-ecg,0.8596297718896668,0.9010033449396702,0.16004756242568371,0.13696104668450787,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__C': 0.1, 'onevsrestclassifier__estimator__penalty': 'l1'}"
93,RandomForestClassifier,raw02-wavelet-meta-ecg,0.8586001964098472,0.9999998702992766,0.16884661117717004,0.0001784121320249777,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 200}"
94,AdaBoostClassifier,raw02-wavelet,0.8218276843076657,0.9563189844667942,0.18097502972651605,0.10633363068688671,"{'onevsrestclassifier__estimator__n_estimators': 100, 'pipeline__pca': 'passthrough'}"
95,GaussianNB,raw02-wavelet,0.7406580230850661,0.7364553238929472,0.2801426872770511,0.2864109426107642,{'pipeline__pca': 'passthrough'}
96,KNeighborsClassifier,raw02-wavelet,0.749685427556056,0.895937687763622,0.2057074910820452,0.17329765090692834,"{'onevsrestclassifier__estimator__n_neighbors': 7, 'pipeline__pca': PCA(n_components=0.95, svd_solver='full')}"
97,LogisticRegression,raw02-wavelet,0.8510768626037866,0.8994558344892372,0.1643281807372176,0.1375557537912578,"{'onevsrestclassifier__estimator__C': 0.1, 'onevsrestclassifier__estimator__penalty': 'l1', 'pipeline__pca': 'passthrough'}"
98,RandomForestClassifier,raw02-wavelet,0.8546010744376019,0.9999998702992766,0.16765755053507728,0.0001784121320249777,"{'onevsrestclassifier__estimator__n_estimators': 200, 'pipeline__pca': 'passthrough'}"
